time,code,description,disposition,location,patrol_zone,landmark,lat,long,year,month,day_of_year,day_of_month,day_of_week,hour,semester,enrollment,pop_total,pop_male,pop_female,pop_under_5,pop_5_9,pop_10_14,pop_15_19,pop_20_24,pop_25_34,pop_35_44,pop_45_54,pop_55_59,pop_60_64,pop_65_74,pop_75_84,pop_over_84,inc_lesser_10,inc_10_15,inc_15_25,inc_25_35,inc_35_50,inc_50_75,inc_75_100,inc_100_150,inc_150_200,inc_greater_200,inc_median,inc_mean
2010-01-01 01:36:00,7399,Miscellaneous Offenses,,NONCAM,Z4,,33.773123999999996,-84.403163,2010,1,1,1,4,1,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-01 01:55:00,7399,Miscellaneous Offenses,,ONCAMRES,Z1,Center Street Apartments North,0.0,0.0,2010,1,1,1,4,1,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-01 02:00:00,2308,Larceny - From Building,,NONCAM,Z2,Sigma Nu Fraternity,33.7755557507418,-84.3941798220796,2010,1,1,1,4,2,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-01 12:00:00,2204,Burglary - No Forced Entry - Residence,Unfounded,ONCAMRES,Z2,North Avenue Apartments North Building,33.7712915716627,-84.3913324013709,2010,1,1,1,4,12,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-02 06:15:00,7399,Miscellaneous Offenses,,ONCAM,Z2,North Avenue Apartments,33.771291571663,-84.3913324013713,2010,1,2,2,5,6,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-03 01:29:00,7399,Miscellaneous Offenses,Prosecution Declined,PUB,Z4,"Marietta Street, NW b/w Northside Drive, NW & Means Street, NW",0.0,0.0,2010,1,3,3,6,1,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-03 11:47:00,2305,Larceny - Articles from Vehicle,,ONCAM,Z2,Weber Building  (SST 1),33.7776419672839,-84.4022786320118,2010,1,3,3,6,11,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-03 18:00:00,2404,Theft of Automobile,,ONCAM,Z1,Family Apartments Parking Deck (Purple Level),0.0,0.0,2010,1,3,3,6,18,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-04 08:00:00,2308,Larceny - From Building,Victim/Witness Refused to Cooperate,ONCAM,Z2,Technology Square Parking Deck,33.775558870511496,-84.38881120536779,2010,1,4,4,0,8,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-05 03:16:00,7399,Miscellaneous Offenses,,ONCAMRES,Z4,Undergraduate Living Center,33.7786953113886,-84.4061185925483,2010,1,5,5,1,3,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-05 08:00:00,2317,Larceny - Bicycle,,ONCAM,Z1,Love Building,33.7789564125,-84.4013146596,2010,1,5,5,1,8,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-05 08:30:00,2902,Damage to Property - Private,,ONCAM,Z2,Wardlaw Center Parking Deck,0.0,0.0,2010,1,5,5,1,8,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
2010-01-05 16:12:00,7399,Miscellaneous Offenses,,ONCAM,Z3,Manufacturing Related Disciplines Complex,0.0,0.0,2010,1,5,5,1,16,,,413462,205715,207747,26619,22606,19818,30806,41124,77791,62812,52482,22436,16779,22092,12431,5666,23678,12421,18772,18419,21725,26366,16067,18490,8005,14504,45171,79299
