OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18010001,01/01/2018,02:00:00,01/01/2018,03:00:00,2204,Burglary - No Forced Entry - Residence,Closed/Cleared,Cleared by Arrest,ONCAMRES,Z3,Pi Kappa Phi Fraternity,220,,Ferst Drive  NW,33.781552,-84.404199,1
18010021,01/07/2018,00:36:00,01/07/2018,00:45:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Tenth Street  NW and Fowler Street  NW,,,,,,1
18010033,01/09/2018,19:57:00,01/09/2018,21:30:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Schellar College of Business,800,,W. Peachtree Street  NE,,,1
18010041,01/10/2018,16:44:00,01/10/2018,17:05:00,9999V,,Closed/Cleared,,ONCAM,Z2,,,,,,-84.38863,1
18010098,01/19/2018,22:42:00,01/20/2018,00:45:00,9999F,,Closed/Cleared,,ONCAMRES,Z4,Folk Residence Hall,531,,Turner Place NW,,,1
18010115,01/23/2018,07:45:00,01/23/2018,08:30:00,2308,Larceny - From Building,Closed/Cleared,Unfounded,ONCAMRES,Z2,Glenn Residence Hall   16   Z2,118,,Bobby Dodd Way NW,33.773422072599999,-84.3916112016,1
18010131,01/25/2018,08:15:00,01/25/2018,09:20:00,9999,Non-Crime (not reported to state),Further Investigation,,PUB,Z2,Fifth Street Bridge   385   Z2,,,Fifth Street NW @ I-75/85,33.776895,-84.390873,1
18010152,01/28/2018,01:16:00,01/28/2018,02:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.7741360837,-84.398818020899995,1
18020233,02/09/2018,17:18:00,02/09/2018,17:50:00,3562,Marijuana - Possession of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,North Avenue Apartments - South,120,,North Avenue  NW,33.76932,-84.39182,1
18020307,02/19/2018,13:00:00,02/19/2018,13:05:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Libary,704,,Cherry Street NW,,,1
18020347,02/22/2018,19:06:00,02/22/2018,22:18:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,Z2,North Avenue  NW  at Spring Street  NW,,,,,,1
18020368,02/24/2018,00:41:00,02/24/2018,02:45:00,9999W,,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,Waffle House,66,,Fifth Street NW,,,1
18020381,02/23/2018,20:00:00,02/25/2018,13:00:00,2399,Larceny Offense Free Text,Inactive,,ONCAMRES,Z4,Maulding Residence Hall,501,,Sixth Street  NW,33.777007,-84.405706,1
18010063,01/13/2018,03:17:00,01/13/2018,04:03:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,Smith Residence Hall,630,,Williams Street NW,,,1
18010138,01/25/2018,23:20:00,01/25/2018,23:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Northside Drive  NW @ 8th Street  NW,,,,,,1
18010159,01/29/2018,21:37:00,01/29/2018,22:29:00,3562,Marijuana - Possession of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Hanson Residence Hall,109,,Bobby Dodd Way  NW,33.7741941966,-84.390936214000007,1
18010161,01/28/2018,16:00:00,01/30/2018,07:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Bobby Dodd Stadium,155,,North Avenue  NW,33.771865,-84.393316,1
18020180,02/01/2018,11:30:00,02/01/2018,12:20:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z4,West Village Dining Commons,532,,Eighth Street NW,,,1
18020212,02/06/2018,01:00:00,02/06/2018,01:30:00,9999,Non-Crime (not reported to state),Further Investigation,,ONCAM,Z1,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
18020231,02/08/2018,20:00:00,02/08/2018,21:30:00,2308,Larceny - From Building,Closed/Cleared,Unfounded,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive  NW,33.775464005800004,-84.403499012599994,1
18020263,02/13/2018,22:50:00,02/14/2018,00:01:00,9999W,,Closed/Cleared,Cleared by Arrest,PUB,Z3,Bobby Dodd Way @ Powerplant Drive,,,,,,1
18030433,03/02/2018,23:09:00,03/03/2018,00:40:00,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,OFFCAM,Fourteenth Street  NW @ State Street  NW,,,,,,1
